REG_NO,SURVEY_ID,created_us,created_da,last_edite,last_edi_1,PUBLISH,DATE,NAME,NUMBER,STREET1,STREET2,TLAND_NAME,TOWN,COUNTY_COD,COUNTY,LOCAL_AUTH,RPS,RMP,VALUE_DESC,ORIGINALTY,INUSETYPE,NIAH_SITE_
50010233,SURV030,NIAH,20141008,NIAH,20141008,1,1740 - 1760,Guys 'n' Dolls Hairdressers,79,Marlborough Street,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,house; shop/retail outlet,,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010233
50010234,SURV030,NIAH,20141008,NIAH,20141008,1,1740 - 1760,Irish Rubies Ltd,78,Marlborough Street,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,house,shop/retail outlet,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010234
50010235,SURV030,NIAH,20141008,NIAH,20141008,1,1740 - 1760,Donal Stanley Clerical Tailoring,77,Marlborough Street,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,house,shop/retail outlet,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010235
50010243,SURV030,NIAH,20141008,NIAH,20141008,1,1910 - 2005,Dunnes Stores,23-24,Earl Street North,Cathedral Street,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,shop/retail outlet,shop/retail outlet,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010243
50010244,SURV030,NIAH,20141008,NIAH,20141008,1,1880 - 1900,,7,Cathedral Street,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,house,,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010244
50010245,SURV030,NIAH,20141008,NIAH,20141008,1,1860 - 1880,Brannigan's,9,Cathedral Street,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,building misc; shop/retail outlet,public house,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010245
50010246,SURV030,NIAH,20141008,NIAH,20141008,1,1810 - 1830,M.J. Boylan & Son Ltd,10,Cathedral Street,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,house,,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010246
50010247,SURV030,NIAH,20141008,NIAH,20141008,1,1915 - 1920,Spar/O'Connell Street Dental Practice,8,O'Connell Street Upper,Cathedral Street,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,house,shop/retail outlet,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010247
50010248,SURV030,NIAH,20141008,NIAH,20141008,1,1915 - 1920,Kylemore,1-2,O'Connell Street Upper,Earl Street North,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,shop/retail outlet,restaurant,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010248
50010249,SURV030,NIAH,20141008,NIAH,20141008,1,1915 - 1920,Dunnes Stores,28,Earl Street North,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,shop/retail outlet,shop/retail outlet,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010249
